vm_text_content,vm_btn_content,vm_playSound,auto_proceed
"""Voice"" Memorization

During the memorization phase, you will listen to ""Voice"" sounds.

Listen carefully because, during the test phase, you will be asked whether you heard those sounds or not.",Start,0,0
Listen carefully to the sounds, ,0,1
Listen carefully to the sounds, ,1,0
"End of memorization phase!

Click 'Next' to continue",Next,0,0
